STREET;ZUJ;ID_STREET;POINT_X;POINT_Y
N·mestie Franza Liszta;528595;528595231;17.10663779;48.15680056
Preöovsk·;529320;529320194;17.14249919;48.15968303
Pri dvore;529346;529346146;17.15874115;48.17654895
Pri starej prach·rni;529346;529346148;17.13222942;48.15991784
Pribiöova;529397;529397060;17.04901085;48.15368282
Priekopy;529320;529320198;17.14202587;48.15765825
Priemyseln·;529320;529320199;17.14373079;48.15352274
Prokopa VeækÈho;528595;528595239;17.09294196;48.16054956
Pr˙dov·;529320;529320203;17.17932731;48.15220003
Prvosienkov·;528595;528595240;17.08232761;48.15521441
Puökinova;528595;528595241;17.10422039;48.15358518
RaËianske m˝to;529346;529346155;17.11937496;48.15766497
Radarov·;529320;529320204;17.16382737;48.1620886
RadlinskÈho;528595;528595242;17.11842006;48.15295895
Raketov·;529320;529320207;17.17494423;48.16151465
Rascov·;529338;529338059;17.19133827;48.15283244
Rastislavova;529320;529320209;17.13283809;48.15396488
Rezedov·;529320;529320212;17.16207662;48.1516304
RobotnÌcka;529346;529346159;17.12885843;48.16179584
RovnÌkov·;529320;529320216;17.16732955;48.16043127
Rubinetov·;529346;529346257;17.1142882;48.1781967
Rubinsteinova;528595;528595251;17.08955874;48.15186059
RumanËekov·;529320;529320219;17.15545736;48.15013824
Ruûov· dolina;529320;529320223;17.14156181;48.15190402
R˝dzikov·;529397;529397092;17.06232932;48.15687704
Sabinovsk·;529320;529320224;17.14858297;48.1606429
Sartorisova;529320;529320225;17.14214792;48.1568984
Sasinkova;528595;528595255;17.12132253;48.15061707
SeberÌniho;529320;529320226;17.16804903;48.15367082
SeËovsk·;529320;529320227;17.15907394;48.15903066
Sedmokr·skov·;529320;529320228;17.15670348;48.15323202
Segnerova;529397;529397063;17.05849961;48.15457805
Schillerova;528595;528595258;17.09914069;48.15671223
Silv·nska;529397;529397065;17.04770343;48.16068011
Sklen·rova;529320;529320232;17.14580761;48.15035569
Sklen·rska;528595;528595261;17.07908887;48.15783926
Skorocelov·;529338;529338064;17.20482108;48.15153566
Sl·viËie ˙dolie;528595;528595263;17.08379379;48.15232025
Sliezska;529346;529346172;17.12870858;48.16122722
SlneËnicov·;529338;529338066;17.18308239;48.15052754
Slovansk·;528595;528595265;17.11561255;48.15357185
SmolnÌcka;529320;529320238;17.1526128;48.15855741
SmreËianska;529346;529346175;17.11648262;48.15861256
Soch·Úova;528595;528595267;17.09619535;48.16109422
Sokolsk·;528595;528595268;17.10337606;48.15719473
Solivarsk·;529320;529320239;17.15433158;48.1603041
SomolickÈho;528595;528595269;17.1031731;48.15039153
Sp‰tn· cesta;529401;529401019;16.98581529;48.17982005
Spojn·;528595;528595270;17.10809186;48.151635
SrnËia;528595;528595271;17.0805645;48.15702142
Star· vin·rska;528595;528595272;17.09468724;48.15222252
StarÈ grunty;529397;529397067;17.06923367;48.15762389
StarÈ ihrisko;529346;529346179;17.13619829;48.17891878
Stodolova;529320;529320250;17.13657877;48.15790914
Stoklasov·;529397;529397093;17.03987339;48.15434883
Str·ûnick·;528595;528595277;17.12240881;48.15071905
Stredn·;529320;529320251;17.17341228;48.17767812
StrojnÌcka;529320;529320252;17.18011042;48.15288193
Stromov·;528595;528595280;17.0981353;48.16258742
Stropkovsk·;529320;529320253;17.14992682;48.15766676
S˙beûn·;528595;528595281;17.08393881;48.16032652
S˙hvezdn·;529320;529320256;17.1759532;48.16092727
Suchohradsk·;529397;529397069;17.04951489;48.15989862
S˙mraËn·;529320;529320259;17.16923273;48.15891748
Sv‰tÈho Vincenta;529320;529320319;17.16580174;48.15283898
Sv‰toplukova;529320;529320261;17.13004722;48.15002673
Svetl·;528595;528595283;17.08572146;48.15107449
SvidnÌcka;529320;529320262;17.15178981;48.15930055
äafranov·;528595;528595286;17.08082666;48.15660227
äalviov·;529320;529320265;17.16058229;48.1530454
äancov·;528595;528595287;17.11203324;48.1563363
äancov·;529346;529346185;17.12285128;48.15792996
ä·ndorova;529320;529320266;17.17449361;48.15563041
äÌpov·;529338;529338068;17.20593048;48.1504464
äkolsk·;528595;528595289;17.11635748;48.15267131
äkovr·nËia;528595;528595290;17.11222837;48.15480323
äkultÈtyho;529346;529346187;17.1266158;48.1608509
äoltÈsovej;528595;528595291;17.12311583;48.15110638
äpieszova;529397;529397073;17.05354854;48.15975743
äportov·;529346;529346188;17.13275858;48.16090658
ätedr·;529320;529320269;17.17884637;48.15462394
ätef·nikova;528595;528595293;17.1066053;48.15189227
ätefanoviËova;528595;528595294;17.11070218;48.15432024
ätefunkova;529320;529320270;17.17081658;48.15617573
äulekova;528595;528595298;17.09624387;48.15032797
äumavsk·;529320;529320273;17.13166775;48.15558229
Tabakov·;528595;528595299;17.11673922;48.15614907
Tablicova;528595;528595300;17.09644022;48.15993173
TajovskÈho;528595;528595301;17.09671141;48.16081308
TavarÌkova osada;529389;529389066;17.03516688;48.17927945
Terchovsk·;529320;529320278;17.16768505;48.17648564
Teslova;529320;529320279;17.14578803;48.16230357
Tich·;528595;528595303;17.08323631;48.15094478
Tilgnerova;529397;529397074;17.05602776;48.15595642
Timravina;528595;528595304;17.09910954;48.15002455
TokajÌcka;529320;529320280;17.15096386;48.16189447
Tom·nkova;529397;529397075;17.05333334;48.15183287
Tom·öikova;529320;529320281;17.16290538;48.15803889
Trebiöovsk·;529320;529320282;17.16096735;48.15965554
TrenËianska;529320;529320283;17.13977559;48.15193137
TrnavskÈ m˝to;529346;529346200;17.12667005;48.15814144
Tymi·nov·;529338;529338072;17.19069243;48.15231099
Ur·nov·;529320;529320289;17.17387734;48.16226099
Urb·nkova;528595;528595312;17.10105452;48.1551028
Viliama Figuöa-BystrÈho;529320;529320290;17.17194208;48.15208308
VanËurova;529346;529346210;17.10775881;48.1607392
VavrÌnov·;529320;529320295;17.17772465;48.15615434
Vazovova;528595;528595318;17.11883022;48.15445333
VËel·rikov·;529401;529401036;16.99677191;48.17711265
Veternicov·;529397;529397076;17.04341856;48.15624852
Vidlicov·;529346;529346215;17.10491566;48.1622564
ViktorÌnova;529320;529320299;17.13467047;48.15264109
Vily Machn·Ë;528595;528595322;17.08061581;48.16012141
VlËkova;528595;528595323;17.10323972;48.15235052
Vrakunsk· cesta;529320;529320303;17.17555759;48.16222447
Vrakunsk· cesta;529338;529338080;17.18789685;48.15888114
Vr·tÚansk·;528595;528595325;17.10444425;48.15424087
Vrchn·;528595;528595326;17.08772403;48.1504436
Vyhliadka;529397;529397094;17.04188972;48.15223497
V˝ria;529401;529401040;17.03001421;48.15385758
Wilsonova;528595;528595328;17.12066338;48.15492841
Za sokolovÚou;528595;528595329;17.1031323;48.15988098
Z·hradnÌcka;528595;528595331;17.12297772;48.15293491
Z·hradnÌcka;529320;529320308;17.135345;48.1550313
Z·hrebsk·;528595;528595332;17.11600505;48.15613338
Z·luûick·;529320;529320309;17.15648824;48.16119981
Z·padn·;529320;529320310;17.16717718;48.15946095
Zborovsk·;529320;529320311;17.13935429;48.15961738
ZelenÈ terasy;529401;529401034;16.99609398;48.17623335
Zelin·rska;529320;529320312;17.14030742;48.15502851
ZlatÈ schody;529401;529401038;17.03225507;48.15285056
éabotova;528595;528595340;17.10799235;48.15740529
éelezniËiarska;528595;528595341;17.10937835;48.15712224
éellova;529320;529320316;17.13082867;48.15628781
éilinsk·;528595;528595344;17.11206561;48.15535914
Ambrova;529346;529346001;17.10023108;48.16673632
Ambruöova;529320;529320004;17.17693428;48.16648239
Avarsk·;529401;529401001;16.98073669;48.1752493
Bagarova;529389;529389002;17.04462572;48.1824304
Bajkalsk·;529346;529346003;17.13859526;48.16381204
Banöelova;529320;529320015;17.16716194;48.17543716
Bardejovsk·;529346;529346004;17.13019097;48.18364791
B·rdoöova;529346;529346005;17.09871846;48.16867715
Batkova;529389;529389003;17.04417332;48.18338072
BazovskÈho;529389;529389004;17.04110999;48.18379129
Beckovsk·;529320;529320018;17.1709876;48.16771987
Belianska;529346;529346008;17.09309687;48.17367951
Bellova;529346;529346009;17.10805709;48.17023995
Benc˙rova;529320;529320019;17.16501163;48.17173616
BeÚovskÈho;529389;529389005;17.04797369;48.18341648
Bielkova;529320;529320020;17.16722934;48.17207531
BilÌkova;529389;529389007;17.04049488;48.18754843
Blatnick·;529346;529346010;17.12671453;48.16803066
Bobuæov·;529346;529346237;17.11265438;48.16435918
Bojnick·;529346;529346011;17.16230219;48.18375223
Boö·niho;529389;529389008;17.04373029;48.18083082
BreËtanov·;529346;529346012;17.10289929;48.17423383
Brezovsk·;529346;529346013;17.1338221;48.17412715
Brig·dnick·;529401;529401002;16.98202607;48.17603439
Brnianska;528595;528595362;17.08782148;48.16384043
