"","EST","res","perc_res","dPSQ","Xlok","Garsonka","PocetIzieb","vlast","park_garaz","vytah","rok","podlazie","stav","konstr","vybav","stary_rek","RozlohaIzby","balkon_rozl","lodzia_rozl","terasa_rozl","wp"
"188",1745.93448411819,-50.9405158818117,-2.83495044907474,1796.875,"529460089","0","3","osobne","0","1","uplnenovy","ine","ciast_rek","panel","na","0",21.33,0,0,0,1
"263",2006.69156573597,20.5804546248628,1.03621869439869,1986.11111111111,"529320152","0","3","osobne","0","1","novy","ine","kompl_rek","panel","na","0",24,0,0,0,1
"336",1573.96725442521,-449.842269384316,-22.227500369578,2023.80952380952,"528595146","0","4","osobne","0","0","stary","ine","ciast_rek","tehla","na","0",42,0,0,0,1
"110",1900.27143425756,-19.0834044521191,-0.994261408429735,1919.35483870968,"529338025","0","2","osobne","0","0","uplnenovy","ine","novo","tehla","na","0",31,0.083,0.076,0,1
"308",1584.90785872025,-29.3778555654619,-1.81986715892242,1614.28571428571,"529371008","0","3","osobne","0","1","uplnenovy","ine","ciast_rek","panel","zar_spotr","0",23.33,0,0.043,0,1
"276",1504.8366434524,-107.005461810759,-6.63870620213687,1611.84210526316,"529460116","0","3","osobne","0","1","uplnenovy","ine","ciast_rek","panel","na","0",25.33,0.105,0,0,1
"343",1152.94586915016,170.963887168179,17.4100839226311,981.981981981982,"545333","0","4","osobne","0","0","novy","prizem","novo","tehla","na","0",27.75,0,0,0.144,1
"78",1622.30381396501,-81.3998897386978,-4.77781961509748,1703.7037037037,"529460027","0","2","osobne","0","1","sociknovy","ine","pov_stav","panel","standard","0",27,0,0,0,1
"42",1879.51711397284,-176.038441582717,-8.56403229321325,2055.55555555556,"529460","0","1","osobne","0","1","uplnenovy","ine","ciast_rek","panel","na","0",36,0,0,0,1
"244",1759.08630257828,-40.9136974217154,-2.2729831900953,1800,"529346077","0","3","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","0",28.33,0,0,0,1
"165",2134.55169283745,-76.9867687010096,-3.48114084561087,2211.53846153846,"529346230","0","2","osobne","0","0","socikstary","podstr","ciast_rek","tehla","zar_spotr","0",26,0,0,0.192,1
"201",1630.77534406576,138.238030632921,9.26194805240567,1492.53731343284,"529460061","0","3","osobne","0","1","sociknovy","ine","ciast_rek","panel","standard","0",22.33,0,0.087,0,1
"359",1763.11790530493,-222.389341071883,-11.2006310466861,1985.50724637681,"529460014","0","4","osobne","0","1","uplnenovy","ine","kompl_rek","panel","na","0",17.25,0,0,0,1
"4",1863.36728841461,91.9387169860381,5.19008886211506,1771.42857142857,"529460098","1","1","osobne","0","1","sociknovy","ine","ciast_rek","panel","zar_spotr","0",35,0,0.143,0,1
"32",1840.57780665749,-289.422193342514,-13.587896401057,2130,"508179","0","1","osobne","0","1","uplnenovy","ine","novo","tehla","standard","0",30,0,0,0,1
"377",1330.61092895543,23.9442622887618,1.83246905271136,1306.66666666667,"529311006","0","4","osobne","0","0","sociknovy","ine","ciast_rek","panel","na","0",18.75,0,0.047,0,1
"48",2048.14603453226,-174.076187689961,-7.83342844604827,2222.22222222222,"529460114","0","1","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","0",36,0,0,0,1
"268",1778.99767966859,-78.1451774742648,-4.20781724861426,1857.14285714286,"529397060","0","3","osobne","0","1","novy","ine","kompl_rek","panel","zar_spotr","0",23.33,0,0.144,0,1
"59",1813.89193639591,-269.322349318379,-12.9282115222263,2083.21428571429,"529397060","0","2","osobne","0","1","uplnenovy","ine","kompl_rek","panel","standard","0",28,0.125,0.125,0,1
"29",2126.0492807886,78.5492807885998,3.83635071006593,2047.5,"529320242","0","1","osobne","0","1","socikstary","ine","kompl_rek","panel","na","0",40,0,0,0,1
"222",1791.3158424649,64.0431151921709,3.70775930059937,1727.27272727273,"529320232","0","3","osobne","1","1","socikstary","podstr","ciast_rek","panel","standard","0",25.67,0.052,0,0,1
"223",2068.40118759752,266.07560620217,14.7629046021849,1802.32558139535,"528595268","0","3","osobne","0","1","socikstary","ine","pov_stav","tehla","na","0",28.67,0,0,0,1
"61",1365.95000895244,263.155891305382,23.8626491649099,1102.79411764706,"529371014","0","2","osobne","0","1","uplnenovy","ine","kompl_rek","zmies","na","0",34,0,0.118,0,1
"357",2411.92361238774,75.0815071245825,3.21294737695285,2336.84210526316,"528595051","0","4","osobne","0","1","uplnenovy","ine","novo","panel","na","0",23.75,0,0,0.127,1
"242",1943.85553028595,101.750267128058,5.52358592980884,1842.10526315789,"529362029","0","3","osobne","0","0","uplnenovy","ine","novo","tehla","zar_spotr","0",19,0.06,0,0,1
"55",1861.25957328308,227.113231819662,13.8979738874719,1634.14634146341,"529389001","0","1","osobne","0","1","uplnenovy","ine","novo","panel","na","0",41,0,0,0,1
"102",2561.04087657698,612.040876576977,31.4028156273462,1949,"529320221","0","2","osobne","0","1","uplnenovy","ine","novo","zmies","standard","0",32,0.173,0.173,0,1
"208",1773.53674888614,134.647859997254,8.21580162695112,1638.88888888889,"529397076","0","3","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","0",24,0,0,0,1
"46",1731.31492472347,269.776463185006,18.4583895863425,1461.53846153846,"529389053","0","1","osobne","0","1","sociknovy","ine","ciast_rek","panel","na","0",39,0,0,0,1
"209",1648.46186344776,-228.461213475315,-12.1721138327012,1876.92307692308,"529460125","0","3","osobne","0","1","sociknovy","ine","ciast_rek","panel","na","0",21.67,0,0,0,1
"39",2222.69771227341,-33.7125441368444,-1.49407866061015,2256.41025641026,"529320068","0","1","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","0",39,0,0,0,1
"98",2150.03837131119,-379.373393394688,-14.9984829946737,2529.41176470588,"529346209","0","2","osobne","0","1","uplnenovy","ine","kompl_rek","tehla","na","0",25.5,0,0,0,1
"26",1642.84466483476,157.130379120478,10.5760832100322,1485.71428571429,"508233","0","1","osobne","0","0","sociknovy","ine","kompl_rek","tehla","na","0",35,0,0.057,0,1
"353",1641.43690700585,73.5356724379535,4.69007044683011,1567.9012345679,"529389041","0","4","osobne","0","1","sociknovy","prizem","kompl_rek","panel","na","0",20.25,0,0.09,0,1
"9",2116.87401210896,-43.1259878910359,-1.99657351347389,2160,"529346073","1","1","osobne","0","1","socikstary","ine","ciast_rek","panel","standard","0",25,0,0,0,1
"200",1147.53335746682,71.5839903782132,6.65310028221041,1075.94936708861,"508179","0","3","osobne","0","1","uplnenovy","ine","ciast_rek","panel","na","0",26.33,0,0,0,1
"319",1219.82730282189,101.406250190313,9.06691178172207,1118.42105263158,"508217","0","3","osobne","0","1","sociknovy","ine","kompl_rek","panel","zar_spotr","0",25.33,0,0.039,0,1
"218",1170.48376495082,138.432482899538,13.4133337467875,1032.05128205128,"508063","0","3","osobne","0","1","novy","ine","kompl_rek","panel","zar_spotr","0",26,0,0.049,0,1
"191",1257.02249584598,130.585714236782,11.5928134067347,1126.4367816092,"508179","0","3","osobne","0","0","sociknovy","ine","kompl_rek","tehla","na","0",29,0,0.044,0,1
"270",1988.9643624449,230.722604203138,13.1223481140535,1758.24175824176,"529346030","0","3","osobne","0","0","uplnenovy","ine","kompl_rek","tehla","zar_spotr","0",30.33,0,0,0,1
"2",2156.550677247,-426.782656086329,-16.5206189452772,2583.33333333333,"529460108","1","1","osobne","0","1","socikstary","ine","ciast_rek","panel","na","0",24,0,0.188,0,1
"234",1970.83402252696,-58.8534774730367,-2.89963245440674,2029.6875,"529320007","0","3","osobne","0","1","novy","ine","kompl_rek","panel","na","0",21.33,0,0,0,1
"368",1335.61967583804,125.093360048564,10.3337993083596,1210.52631578947,"529311006","0","4","osobne","0","1","sociknovy","ine","ciast_rek","panel","na","0",19,0,0,0,1
"329",1465.2242657665,-6.39735585512312,-0.434714722937659,1471.62162162162,"529338013","0","4","osobne","0","1","uplnenovy","ine","kompl_rek","panel","na","0",18.5,0,0.027,0,1
"138",1362.0906614912,-146.383914779986,-9.70410221575186,1508.47457627119,"507903","0","2","osobne","0","1","uplnenovy","ine","novo","tehla","na","0",29.5,0,0,0,1
"137",1851.52293615689,-320.977063843115,-14.7745483932389,2172.5,"529460121","0","2","osobne","0","1","socikstary","ine","ciast_rek","panel","na","0",20,0,0,0,1
"150",1625.72623773556,-124.273762264438,-7.10135784368219,1750,"529346110","0","2","osobne","0","0","socikstary","podstr","pov_stav","tehla","standard","0",30,0,0,0,1
"327",1803.03251308505,-269.548132076244,-13.0054351663246,2072.58064516129,"529389035","0","4","osobne","1","1","uplnenovy","ine","novo","tehla","standard","0",31,0.032,0.078,0,1
"74",2196.34346234556,10.6291766312747,0.486302198816491,2185.71428571429,"529320060","0","2","osobne","0","1","uplnenovy","ine","novo","tehla","na","0",35,0,0.157,0,1
"245",2228.61638010193,-330.907429421881,-12.9284763122967,2559.52380952381,"529320012","0","3","osobne","1","1","novy","ine","novo","zmies","na","0",28,0.068,0,0,1
"888",843.238711809552,125.381568952409,17.4660892073007,717.857142857143,"508438","0","3","druzst","0","1","sociknovy","ine","pov_stav","panel","na","0",23.33,0,0.029,0,1
"882",891.3351951987,-161.676852994071,-15.353751485707,1053.01204819277,"508438","0","3","osobne","0","1","uplnenovy","ine","ciast_rek","tehla","na","0",27.67,0.024,0,0,1
"883",648.610715801871,-144.492732473991,-18.2186488771553,793.103448275862,"558133","0","3","osobne","0","0","uplnenovy","ine","kompl_rek","tehla","na","0",19.33,0,0,0,1
"876",963.323051126394,35.1540370418869,3.78746074351134,928.169014084507,"508438","0","2","osobne","0","0","sociknovy","ine","kompl_rek","tehla","na","0",35.5,0,0,0,1
"859",834.972970334133,134.972970334133,19.2818529048762,700,"518158","0","1","osobne","0","1","novy","ine","ciast_rek","panel","standard","0",40,0,0.025,0,1
"866",896.129329772085,-87.313293178735,-8.87833119503723,983.44262295082,"508438","0","2","osobne","0","1","sociknovy","ine","pov_stav","panel","na","0",30.5,0.049,0.033,0,1
"863",1086.32232476143,-44.6300561909552,-3.94623654741078,1130.95238095238,"508438","0","1","osobne","0","0","socikstary","podstr","kompl_rek","tehla","na","0",42,0,0.071,0,1
"893",896.969321057602,26.969321057602,3.09992196064391,870,"508438","0","3","osobne","0","1","sociknovy","ine","ciast_rek","panel","na","0",23.33,0,0.043,0,1
"1049",1041.72425264158,130.765348531991,14.3546923952411,910.958904109589,"599875","0","3","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","0",24.33,0,0,0,1
"1085",1336.31299426187,1.76753971641119,0.132445074118005,1334.54545454545,"598224","0","3","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","1",18.33,0,0.036,0,1
"1040",923.111010876131,57.7776775427975,6.67692729693346,865.333333333333,"599875","0","3","osobne","0","1","socikstary","podstr","ciast_rek","panel","na","0",25,0,0.053,0,1
"1108",906.985282275505,74.6936156088385,8.9744519379831,832.291666666667,"599875","0","4","osobne","0","1","novy","ine","ciast_rek","panel","na","0",24,0,0.031,0,1
"1009",838.653565072465,112.238470732842,15.4510102567289,726.415094339623,"599841","0","2","osobne","0","0","uplnenovy","ine","kompl_rek","tehla","na","0",26.5,0,0,0,1
"1027",1043.11105492152,0.00760664565450497,0.000729232145390559,1043.10344827586,"598682","0","2","osobne","0","1","sociknovy","ine","ciast_rek","panel","standard","0",29,0,0.069,0,1
"1004",1106.81523456846,4.43428218751046,0.402245900378919,1102.38095238095,"598682","0","1","osobne","0","1","sociknovy","ine","ciast_rek","panel","standard","0",42,0,0.095,0,1
"1079",1081.31981498604,-78.680185013962,-6.78277457016914,1160,"599816","0","3","osobne","0","1","socikstary","ine","pov_stav","panel","na","0",21.67,0.185,0,0,1
"1005",1453.34456309025,-171.65543690975,-10.5634115021385,1625,"599824","0","1","osobne","0","1","sociknovy","prizem","kompl_rek","panel","na","0",32,0,0,0,1
"1089",696.075375839074,42.8495693874609,6.55968716548783,653.225806451613,"522279","0","3","osobne","0","0","sociknovy","ine","kompl_rek","zmies","na","0",20.67,0,0,0,1
"1111",1239.99732337524,88.6815339015516,7.70262465887762,1151.31578947368,"598224","0","4","osobne","0","1","uplnenovy","ine","kompl_rek","panel","na","0",19,0,0,0,1
"1016",717.039043652438,63.8132372008251,9.76894001592879,653.225806451613,"599841","0","2","osobne","0","0","socikstary","ine","ciast_rek","tehla","na","0",31,0,0,0,1
"1010",755.289517685684,139.904902301068,22.7345466239236,615.384615384615,"526355","0","2","osobne","0","0","uplnenovy","ine","ciast_rek","zmies","na","0",26,0,0,0,1
"1017",1056.95209843241,1.39654287685016,0.132304062017384,1055.55555555556,"599875","0","2","druzst","0","1","uplnenovy","ine","kompl_rek","panel","na","0",27,0,0,0,1
"1015",1455.07395556617,28.8834793756907,2.02521892116696,1426.19047619048,"598186","0","2","osobne","0","1","socikstary","ine","pov_stav","panel","na","0",21,0.071,0.143,0,1
"1056",418.72086745396,92.2502792186662,28.2568422831951,326.470588235294,"543268","0","3","osobne","0","0","socikstary","ine","ciast_rek","tehla","na","0",22.67,0,0,0,1
"1002",1530.14712509508,220.623315571273,16.8475986436245,1309.52380952381,"598186","0","1","osobne","0","0","sociknovy","ine","kompl_rek","panel","na","0",42,0,0,0,1
"1057",682.330799449688,37.4032632178042,5.79960710568201,644.927536231884,"526355","0","3","osobne","0","0","sociknovy","ine","pov_stav","panel","na","0",23,0,0,0,1
"1046",589.751813858538,-10.2481861414616,-1.70803102357693,600,"522279","0","3","osobne","0","0","sociknovy","ine","pov_stav","zmies","na","0",25,0,0,0,1
"1001",1024.30117584202,11.8011758420162,1.16554823131024,1012.5,"599875","0","1","osobne","0","1","socikstary","ine","pov_stav","panel","standard","0",40,0,0.15,0,1
"997",1205.88731591601,61.1504738107485,5.34188047082401,1144.73684210526,"598151","0","1","osobne","0","0","socikstary","prizem","pov_stav","tehla","standard","0",38,0,0,0,1
"1058",908.94332453325,67.1711726345155,7.97973329041613,841.772151898734,"599875","0","3","osobne","0","1","socikstary","ine","pov_stav","panel","na","0",26.33,0,0,0,1
"1082",1095.99344438183,132.758150264186,13.7825255236101,963.235294117647,"598224","0","3","osobne","0","0","sociknovy","ine","pov_stav","panel","na","0",22.67,0,0,0,1
"1051",1239.55554189359,114.555541893593,10.182714834986,1125,"599883","0","3","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","0",21.33,0,0,0,1
